,temperature
0,287.48837
1,286.36234
2,286.1112
3,285.87973
4,285.7231
5,285.71198
6,285.7233
7,285.85257
8,286.56406
9,287.14185
10,287.91684
11,288.85596
12,289.5517
13,290.18042
14,290.2784
15,290.30356
16,290.19403
17,289.32477
18,288.60248
19,287.9832
20,287.4456
21,287.00113
22,286.54553
23,286.27457
24,286.07516
25,286.177
26,285.96228
27,285.73062
28,285.63904
29,285.67087
30,285.70328
31,285.81787
32,286.38443
33,286.94986
34,287.6708
35,288.55746
36,289.39032
37,290.0861
38,290.24918
39,290.3571
40,290.199
41,289.3067
42,288.57574
43,287.96896
44,287.546
45,287.16736
46,286.8339
47,286.63293
48,286.49274
49,286.21362
50,285.96265
51,285.71432
52,285.6017
53,285.64136
54,285.64514
55,285.6857
56,286.22052
57,286.7399
58,287.545
59,288.53012
60,289.23117
61,289.90244
62,290.12024
63,290.30988
64,290.15878
65,289.25452
66,288.49704
67,287.85556
68,287.4605
69,287.04898
70,286.68256
71,286.44446
72,286.29428
73,285.61108
74,285.41293
75,285.1417
76,285.0489
77,285.02365
78,285.03027
79,285.20047
80,285.80405
81,286.4949
82,287.2919
83,288.20224
84,289.14346
85,289.83365
86,289.99414
87,290.16772
88,290.02902
89,289.10382
90,288.31332
91,287.73352
92,287.286
93,286.88947
94,286.49725
95,286.28293
96,286.1838
97,285.65958
98,285.4317
99,285.24515
100,285.16513
101,285.12973
102,285.1428
103,285.31097
104,285.90707
105,286.40103
106,287.19028
107,288.2133
108,288.912
109,289.44156
110,289.61948
111,289.66617
112,289.6024
113,288.83694
114,288.07114
115,287.4569
116,286.98004
117,286.5658
118,286.14844
119,285.86453
120,285.67395
121,285.48602
122,285.17804
123,284.90903
124,284.7433
125,284.69504
126,284.69788
127,284.88266
128,285.64612
129,286.377
130,287.30426
131,288.15344
132,288.92984
133,289.45276
134,289.64212
135,289.7365
136,289.64417
137,288.6664
138,287.80814
139,287.1037
140,286.47324
141,286.00998
142,285.55945
143,285.2807
144,285.11456
145,284.93655
146,284.67618
147,284.34717
148,284.24442
149,284.23438
150,284.2723
151,284.46686
152,285.21487
153,285.90765
154,286.80084
155,287.74417
156,288.5818
157,289.2518
158,289.35263
159,289.4317
160,289.38535
161,288.4481
162,287.53583
163,286.87973
164,286.32584
165,285.9536
166,285.5878
167,285.40906
168,285.22012
169,285.05292
170,284.81726
171,284.5728
172,284.43726
173,284.4379
174,284.46103
175,284.61856
176,285.249
177,285.8448
178,286.60043
179,287.46356
180,288.34244
181,289.00607
182,289.1848
183,289.24576
184,289.17575
185,288.27014
186,287.46576
187,286.8417
188,286.35098
189,285.94955
190,285.5366
191,285.24
192,285.0837
193,285.2067
194,284.93967
195,284.68933
196,284.54755
197,284.51263
198,284.53717
199,284.63678
200,285.19656
201,285.74133
202,286.5709
203,287.51358
204,288.33286
205,289.13358
206,289.33865
207,289.45227
208,289.36838
209,288.2519
210,287.41876
211,286.77267
212,286.33575
213,285.93323
214,285.5415
215,285.33188
216,285.18466
217,285.34445
218,285.07486
219,284.81183
220,284.68106
221,284.66083
222,284.6536
223,284.82104
224,285.46957
225,286.10016
226,286.94946
227,287.86304
228,288.63364
229,289.36945
230,289.54312
231,289.60745
232,289.48727
233,288.50687
234,287.58185
235,286.93408
236,286.53442
237,286.14102
238,285.81046
239,285.5818
240,285.453
241,285.41336
242,285.14987
243,284.91647
244,284.83115
245,284.87607
246,284.92993
247,285.0573
248,285.67624
249,286.23218
250,287.0482
251,287.92737
252,288.77432
253,289.53268
254,289.66785
255,289.80936
256,289.6115
257,288.53235
258,287.82306
259,287.0988
260,286.55914
261,286.11087
262,285.65646
263,285.33643
264,285.15128
265,285.06104
266,284.81638
267,284.58292
268,284.44785
269,284.39062
270,284.39218
271,284.60007
272,285.301
273,286.05634
274,287.0019
275,288.04614
276,288.7862
277,289.44363
278,289.57733
279,289.6236
280,289.51828
281,288.69507
282,287.9045
283,287.21753
284,286.60037
285,286.12112
286,285.5517
287,285.2687
288,285.06857
289,285.19968
290,284.9705
291,284.70184
292,284.5793
293,284.58167
294,284.5689
295,284.80093
296,285.52982
297,286.30865
298,287.30713
299,288.20837
300,288.8845
301,289.48325
302,289.57785
303,289.5921
304,289.5429
305,288.6539
306,287.8994
307,287.2509
308,286.72137
309,286.219
310,285.7648
311,285.4941
312,285.3075
313,284.95166
314,284.7725
315,284.50848
316,284.42575
317,284.3872
318,284.3797
319,284.56592
320,285.10815
321,285.64667
322,286.46567
323,287.25195
324,287.9626
325,288.5378
326,288.67953
327,288.75766
328,288.6868
329,287.90216
330,287.05362
331,286.50403
332,286.02222
333,285.65347
334,285.22516
335,284.9934
336,284.8353
337,284.5664
338,284.32486
339,284.11267
340,283.98386
341,283.9767
342,283.98978
343,284.14117
344,284.7388
345,285.28442
346,286.05972
347,287.01892
348,287.7788
349,288.40805
350,288.56885
351,288.73782
352,288.70438
353,287.80173
354,287.04904
355,286.4189
356,285.95746
357,285.59613
358,285.2248
359,285.02115
360,284.88843
361,284.56577
362,284.3563
363,284.14215
364,284.04404
365,284.0196
366,284.04126
367,284.19125
368,284.75116
369,285.33472
370,286.24683
371,287.21524
372,287.90775
373,288.56744
374,288.73633
375,288.8185
376,288.72705
377,287.7101
378,286.82114
379,286.2482
380,285.7242
381,285.3919
382,285.0192
383,284.82593
384,284.57684
385,283.80344
386,283.5982
387,283.38593
388,283.2777
389,283.2617
390,283.26
391,283.3976
392,283.99527
393,284.4923
394,285.28235
395,285.94586
396,286.58292
397,287.10678
398,287.23254
399,287.29895
400,287.18353
401,286.46756
402,285.81332
403,285.38513
404,285.0355
405,284.76578
406,284.4391
407,284.23276
408,284.0675
409,283.5959
410,283.3422
411,283.13852
412,283.03964
413,283.0361
414,283.06488
415,283.17358
416,283.53827
417,284.05515
418,284.70813
419,285.4757
420,286.06058
421,286.59464
422,286.6945
423,286.7817
424,286.71945
425,285.94693
426,285.35614
427,284.9474
428,284.55136
429,284.22897
430,283.93506
431,283.7796
432,283.69067
433,282.84442
434,282.6457
435,282.4381
436,282.31732
437,282.26868
438,282.29846
439,282.38416
440,282.91357
441,283.3307
442,283.99115
443,284.79187
444,285.4764
445,286.10712
446,286.2662
447,286.39664
448,286.33023
449,285.501
450,284.8627
451,284.42508
452,284.01413
453,283.68652
454,283.4447
455,283.20206
456,283.12433
457,282.47043
458,282.20596
459,282.02832
460,281.93393
461,281.93466
462,281.9132
463,282.04794
464,282.48294
465,282.9685
466,283.70828
467,284.55664
468,285.32004
469,285.97894
470,286.12067
471,286.28348
472,286.16812
473,285.35474
474,284.67282
475,284.23578
476,283.78876
477,283.3766
478,283.00732
479,282.76453
480,282.62012
481,281.93555
482,281.6548
483,281.42578
484,281.31195
485,281.2948
486,281.31564
487,281.36002
488,281.89786
489,282.38443
490,283.15015
491,283.9586
492,284.7316
493,285.37546
494,285.5208
495,285.62027
496,285.56845
497,284.64813
498,284.03302
499,283.60757
500,283.20398
501,282.85074
502,282.57538
503,282.38394
504,282.24054
505,281.83762
506,281.58676
507,281.3811
508,281.2657
509,281.25272
510,281.23477
511,281.36557
512,281.87674
513,282.34094
514,283.11337
515,283.94766
516,284.65598
517,285.229
518,285.3818
519,285.52548
520,285.4539
521,284.61392
522,283.95734
523,283.51617
524,283.1304
525,282.77737
526,282.47635
527,282.21576
528,282.08804
529,281.9734
530,281.72458
531,281.49408
532,281.3623
533,281.3787
534,281.37332
535,281.53705
536,281.98178
537,282.4691
538,283.24786
539,284.18695
540,284.99918
541,285.69638
542,285.80737
543,285.874
544,285.7353
545,284.86804
546,284.1983
547,283.73224
548,283.3346
549,283.01413
550,282.64346
551,282.4161
552,282.2156
553,282.23166
554,281.96268
555,281.7087
556,281.6421
557,281.63184
558,281.654
559,281.79254
560,282.26285
561,282.83585
562,283.53958
563,284.46478
564,285.22403
565,285.94305
566,286.04553
567,286.08566
568,285.98813
569,285.1087
570,284.44913
571,283.98047
572,283.52548
573,283.1961
574,282.85864
575,282.65897
576,282.55597
577,282.39563
578,282.1238
579,281.86688
580,281.74268
581,281.742
582,281.75012
583,281.8668
584,282.37732
585,282.91742
586,283.66577
587,284.55017
588,285.36514
589,286.05432
590,286.20557
591,286.32935
592,286.1953
593,285.2114
594,284.44388
595,283.97552
596,283.5354
597,283.2198
598,282.89523
599,282.68347
600,282.58594
601,282.33545
602,282.0961
603,281.85245
604,281.75375
605,281.78238
606,281.8074
607,281.9154
608,282.40475
609,282.91412
610,283.6688
611,284.544
612,285.38873
613,286.09158
614,286.22742
615,286.33936
616,286.2705
617,285.37384
618,284.58942
619,284.07657
620,283.6581
621,283.24796
622,282.8261
623,282.58707
624,282.4979
625,282.2294
626,282.00684
627,281.7833
628,281.67917
629,281.67657
630,281.67108
631,281.74954
632,282.1619
633,282.6283
634,283.39682
635,284.25894
636,284.98813
637,285.60892
638,285.7747
639,285.85315
640,285.813
641,284.97458
642,284.29343
643,283.8893
644,283.50333
645,283.2204
646,282.8737
647,282.62906
648,282.56985
649,282.0221
650,281.81262
651,281.6573
652,281.5984
653,281.52054
654,281.56155
655,281.64212
656,282.0343
657,282.55063
658,283.2203
659,283.90604
660,284.574
661,285.11636
662,285.22824
663,285.33618
664,285.27365
665,284.5005
666,283.90414
667,283.5233
668,283.14313
669,282.85794
670,282.9732
671,282.75034
672,282.62317
673,281.77655
674,281.56357
675,281.32553
676,281.1738
677,281.20148
678,281.20212
679,281.27927
680,281.66055
681,282.1188
682,282.85956
683,283.6328
684,284.29736
685,284.86786
686,285.0033
687,285.06787
688,285.034
689,284.25372
690,283.68018
691,283.25183
692,282.8272
693,282.49228
694,283.04028
695,282.81006
696,282.71582
697,281.51367
698,281.26865
699,281.0045
700,280.85187
701,280.84964
702,280.86697
703,280.97293
704,281.41577
705,281.9437
706,282.678
707,283.42972
708,284.13757
709,284.69455
710,284.81137
711,284.87082
712,284.8359
713,284.07718
714,283.45572
715,283.0453
716,282.61462
717,282.2923
718,281.95477
719,281.74652
720,281.62473
721,281.60428
722,281.3801
723,281.16028
724,281.0658
725,281.0672
726,281.0542
727,281.1053
728,281.49234
729,281.9156
730,282.53467
731,283.21423
732,283.9023
733,284.4259
734,284.5329
735,284.6132
736,284.575
737,283.92902
738,283.4268
739,283.08994
740,282.7733
741,282.51492
742,282.20276
743,281.98376
744,281.95132
745,282.0629
746,281.77945
747,281.51755
748,281.39218
749,281.43182
750,281.37518
751,281.3799
752,281.71426
753,282.0794
754,282.72214
755,283.42123
756,283.94806
757,284.45453
758,284.51666
759,284.5727
760,284.49496
761,283.7855
762,283.23788
763,282.9163
764,282.56555
765,282.25598
766,281.9582
767,281.68765
768,281.67416
769,281.61908
770,281.32544
771,281.0104
772,280.90265
773,280.84735
774,280.83768
775,280.95212
776,281.32718
777,281.87805
778,282.51773
779,283.26004
780,283.848
781,284.428
782,284.5435
783,284.54776
784,284.4911
785,283.74677
786,283.20392
787,282.8306
788,282.50504
789,282.23587
790,281.95804
791,281.74246
792,281.68704
793,281.6586
794,281.45682
795,281.26868
796,281.1767
797,281.16873
798,281.1531
799,281.1649
800,281.50247
801,281.92496
802,282.56317
803,283.24872
804,283.81674
805,284.28366
806,284.3995
807,284.47006
808,284.45776
809,283.77304
810,283.26236
811,282.87338
812,282.5117
813,282.23816
814,281.95053
815,281.80453
816,281.79028
817,281.4898
818,281.31522
819,281.18408
820,281.14697
821,281.13626
822,281.11618
823,281.0613
824,281.35928
825,281.6972
826,282.27017
827,282.86365
828,283.42902
829,283.95728
830,284.0096
831,284.08795
832,283.9983
833,283.3794
834,282.8544
835,282.49136
836,282.15002
837,281.8471
838,281.53943
839,281.35464
840,281.3344
841,281.20163
842,281.06577
843,280.83252
844,280.73993
845,280.73444
846,280.73123
847,280.70016
848,281.06155
849,281.4379
850,282.08438
851,282.79562
852,283.4614
853,283.99606
854,284.10635
855,284.13678
856,284.12814
857,283.45126
858,282.88873
859,282.49158
860,282.14615
861,281.89526
862,281.6425
863,281.48648
864,281.48727
865,281.63547
866,281.42496
867,281.13644
868,281.01392
869,281.077
870,281.12036
871,281.15253
872,281.49234
873,281.84988
874,282.4236
875,283.08362
876,283.68127
877,284.2148
878,284.303
879,284.37994
880,284.3499
881,283.69894
882,283.1544
883,282.78564
884,282.47
885,282.23642
886,281.95923
887,281.83875
888,281.84326
889,282.09818
890,281.85303
891,281.598
892,281.4397
893,281.32462
894,281.30045
895,281.2475
896,281.5988
897,281.94348
898,282.62228
899,283.2855
900,283.85452
901,284.36533
902,284.47308
903,284.53543
904,284.52322
905,283.83044
906,283.3544
907,282.96118
908,282.6113
909,282.3324
910,282.05795
911,281.92212
912,281.96298
913,281.86716
914,281.59537
915,281.34787
916,281.20752
917,281.1694
918,281.11383
919,281.1386
920,281.49393
921,281.85803
922,282.60715
923,283.36642
924,284.02286
925,284.5362
926,284.6304
927,284.69818
928,284.64694
929,283.92752
930,283.33575
931,282.90833
932,282.52994
933,282.2282
934,281.91617
935,281.72528
936,281.6596
937,281.2341
938,281.05386
939,280.87317
940,280.78174
941,280.79575
942,280.81836
943,280.84763
944,281.22812
945,281.616
946,282.24908
947,282.9416
948,283.5789
949,284.149
950,284.2731
951,284.35638
952,284.2549
953,283.512
954,282.95895
955,282.52505
956,282.1512
957,281.85703
958,281.53793
959,281.31842
960,281.27646
961,281.27194
962,281.0433
963,280.84137
964,280.73685
965,280.72733
966,280.68365
967,280.71655
968,281.10126
969,281.51602
970,282.15555
971,282.94928
972,283.61374
973,284.07413
974,284.24142
975,284.35345
976,284.35098
977,283.67484
978,283.0117
979,282.60913
980,282.27872
981,282.04425
982,281.75476
983,281.55997
984,281.4818
985,281.44623
986,281.26245
987,281.07474
988,280.99582
989,281.00473
990,280.99817
991,281.0563
992,281.42255
993,281.79114
994,282.3926
995,283.11734
996,283.86157
997,284.31464
998,284.417
999,284.5185
1000,284.4963
1001,283.77332
1002,283.1964
1003,282.82364
1004,282.4745
1005,282.15164
1006,281.85297
1007,281.67462
1008,281.58487
1009,281.86014
1010,281.66608
1011,281.47153
1012,281.35742
1013,281.34326
1014,281.35092
1015,281.41577
1016,281.77808
1017,282.17172
1018,282.85757
1019,283.57275
1020,284.21753
1021,284.7473
1022,284.89703
1023,284.91568
1024,284.78378
1025,284.04193
1026,283.47467
1027,283.1427
1028,282.80438
1029,282.5651
1030,282.2973
1031,282.08792
1032,282.05038
1033,282.2786
1034,282.03986
1035,281.85693
1036,281.74863
1037,281.72433
1038,281.69907
1039,281.7039
1040,282.0551
1041,282.4738
1042,283.17163
1043,283.8822
1044,284.45276
1045,284.9516
1046,285.05576
1047,285.16983
1048,285.0454
1049,284.3159
1050,283.80893
1051,283.49078
1052,283.21167
1053,282.9259
1054,282.63046
1055,282.40335
1056,282.30573
1057,282.68393
1058,282.49243
1059,282.25037
1060,282.1134
1061,282.0842
1062,282.0804
1063,282.107
1064,282.4479
1065,282.87872
1066,283.49503
1067,284.2356
1068,284.82364
1069,285.27594
1070,285.36932
1071,285.41772
1072,285.33752
1073,284.59668
1074,284.01086
1075,283.6875
1076,283.3814
1077,283.17142
1078,282.92316
1079,282.81927
1080,282.7505
1081,283.0355
1082,282.77692
1083,282.59326
1084,282.51273
1085,282.5061
1086,282.55423
1087,282.59766
1088,282.85196
1089,283.16553
1090,283.7684
1091,284.46768
1092,285.0257
1093,285.4136
1094,285.52054
1095,285.60596
1096,285.5455
1097,284.78806
1098,284.29434
1099,283.94644
1100,283.6479
1101,283.4396
1102,283.19986
1103,283.07245
1104,283.1092
1105,282.94073
1106,282.76627
1107,282.59268
1108,282.4825
1109,282.46588
1110,282.4325
1111,282.50153
1112,282.81058
1113,283.14764
1114,283.75113
