id,name,latitude,longitude,altitude
07005,ABBEVILLE,50.136,1.834,69
07015,LILLE-LESQUIN,50.57,3.0975,47
07020,PTE DE LA HAGUE,49.725167,-1.939833,6
07027,CAEN-CARPIQUET,49.18,-0.456167,67
07037,ROUEN-BOOS,49.383,1.181667,151
07072,REIMS-PRUNAY,49.209667,4.155333,95
07110,BREST-GUIPAVAS,48.444167,-4.412,94
07117,PLOUMANAC'H,48.825833,-3.473167,55
07130,RENNES-ST JACQUES,48.068833,-1.734,36
07139,ALENCON,48.4455,0.110167,143
07149,ORLY,48.716833,2.384333,89
07168,TROYES-BARBEREY,48.324667,4.02,112
07181,NANCY-OCHEY,48.581,5.959833,336
07190,STRASBOURG-ENTZHEIM,48.5495,7.640333,150
07222,NANTES-BOUGUENAIS,47.15,-1.608833,26
07240,TOURS,47.4445,0.727333,108
07255,BOURGES,47.059167,2.359833,161
07280,DIJON-LONGVIC,47.267833,5.088333,219
07299,BALE-MULHOUSE,47.614333,7.51,263
07314,PTE DE CHASSIRON,46.046833,-1.4115,11
07335,POITIERS-BIARD,46.593833,0.314333,123
07434,LIMOGES-BELLEGARDE,45.861167,1.175,402
07460,CLERMONT-FD,45.786833,3.149333,331
07481,LYON-ST EXUPERY,45.7265,5.077833,235
07510,BORDEAUX-MERIGNAC,44.830667,-0.691333,47
07535,GOURDON,44.745,1.396667,260
07558,MILLAU,44.1185,3.0195,712
07577,MONTELIMAR,44.581167,4.733,73
07607,MONT-DE-MARSAN,43.909833,-0.500167,59
07621,TARBES-OSSUN,43.188,0.0,360
07627,ST GIRONS,43.005333,1.106833,414
07630,TOULOUSE-BLAGNAC,43.621,1.378833,151
07650,MARIGNANE,43.437667,5.216,9
07690,NICE,43.648833,7.209,2
07747,PERPIGNAN,42.737167,2.872833,42
